date,Solar (Rooftop) -  GWh,Solar (Utility) -  GWh,Wind -  GWh,Battery (Discharging) -  GWh,Gas (Reciprocating) -  GWh,Gas (OCGT) -  GWh,Gas (CCGT) -  GWh,Gas (Steam) -  GWh,Distillate -  GWh,Imports -  GWh,Exports -  GWh,Battery (Charging) -  GWh,Temperature Min - C,Temperature Mean - C,Temperature Max - C,Volume Weighted Price - AUD/MWh,Solar (Rooftop) Market Value - AUD,Solar (Utility) Market Value - AUD,Wind Market Value - AUD,Battery (Discharging) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (Steam) Market Value - AUD,Distillate Market Value - AUD,Imports Market Value - AUD,Exports Market Value - AUD,Battery (Charging) Market Value - AUD
2019-01-20 00:00,5.93,0.89,14.10,0.11,0.00,0.94,11.15,4.10,0.00,1.18,-1.71,-0.14,16.70,24.07,32.00,90.11,481657.33,79899.26,1086784.15,10775.25,0.00,115899.21,1057904.86,404186.67,39.27,-110351.12,92810.02,8756.75
2019-01-21 00:00,5.42,0.87,9.03,0.15,0.00,1.87,14.80,8.22,0.15,6.64,-0.14,-0.19,20.40,27.26,34.40,200.38,1268985.84,200545.59,1495765.04,42291.81,0.00,472260.81,2833498.42,1809449.63,38066.49,-1466653.43,18846.22,28052.51
2019-01-22 00:00,5.44,0.79,8.56,0.08,0.00,3.96,15.29,13.67,0.12,7.27,-0.52,-0.11,21.60,29.91,37.90,290.77,1883031.91,324353.18,2386618.36,57046.82,0.00,1521977.26,4144674.36,4325959.16,156128.73,-1655963.86,323015.35,14805.94
2019-01-23 00:00,5.61,1.03,17.72,0.07,0.00,2.76,15.23,13.31,0.09,5.13,-2.72,-0.12,24.30,32.14,40.30,162.10,1072205.35,189361.95,2554902.21,14467.84,0.00,506108.14,2397921.54,2160151.11,17027.77,-1012264.46,333814.20,14363.84
2019-01-24 00:00,5.38,1.38,16.88,0.11,0.00,5.77,14.76,18.77,2.13,3.22,-2.33,-0.15,31.50,38.12,46.20,4099.90,15800809.74,5552040.07,17868734.81,1263692.66,0.00,44722128.18,51122180.49,98543297.69,25614417.87,-5847154.29,2438287.78,118733.13
2019-01-25 00:00,2.92,1.27,14.47,0.11,0.00,5.45,15.16,16.82,0.44,1.32,-8.73,-0.13,21.00,24.40,29.80,571.96,3669610.68,1500679.62,5346827.05,254647.70,0.00,5878715.18,8470400.06,10089754.92,1363561.58,-278053.72,6641051.97,24824.57
2019-01-26 00:00,4.90,1.00,11.12,0.15,0.00,0.01,14.99,12.48,0.00,0.04,-7.38,-0.16,17.20,21.58,25.80,134.11,468956.47,95822.40,1063971.24,19503.53,0.00,1721.06,2068805.06,1832696.26,62.84,-9337.19,750293.25,16115.25
2019-01-27 00:00,5.58,0.59,8.25,0.12,0.00,0.00,14.22,8.02,0.00,0.30,-3.59,-0.15,16.00,20.49,25.00,83.11,365729.14,38920.00,658603.92,10623.14,0.00,0.00,1172167.56,681647.69,37.65,-24389.02,265606.76,9285.95
2019-01-28 00:00,5.97,1.24,7.60,0.07,0.00,1.10,15.02,9.91,0.02,0.18,-5.45,-0.14,14.40,21.37,28.50,133.93,837580.30,182558.78,990042.76,15013.17,0.00,201672.30,1928675.48,1500883.27,4087.97,-17657.63,872907.45,15456.40
2019-01-29 00:00,5.78,1.23,6.42,0.09,0.00,3.14,15.46,15.09,0.00,0.31,-5.11,-0.11,15.90,23.62,31.80,160.59,1135824.97,238539.35,963271.01,22678.26,0.00,598243.05,2422453.74,2549894.41,72.99,-36430.58,961210.01,12936.60
