date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Min - C,Temperature Mean - C,Temperature Max - C,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2020-11-14,-0.27,-4.60,2.05,0.00,3.03,8.03,0.85,1.41,0.12,9.95,3.29,8.88,11.90,21.19,29.60,-0.08,1820.00,3211.00,593.00,847.10,NaN,52.62,7759.00,142646.00,121227.00,-4.25,154798.00,388576.00,53246.00,89722.00,6767.00,315444.00,124027.00,318253.00
2020-11-15,-0.26,-7.29,0.03,0.00,2.06,5.32,0.41,0.46,0.28,29.06,0.95,6.60,17.10,27.08,37.80,-0.01,1238.00,2129.00,285.30,275.30,NaN,24.39,-3479.00,114280.00,1254.00,-0.10,36626.00,122069.00,19544.00,20322.00,7613.00,520106.00,10576.00,68950.00
2020-11-16,-0.33,-5.42,0.71,0.00,1.93,5.65,0.24,0.30,0.29,22.24,1.50,8.66,13.80,17.00,20.70,-0.01,1158.00,2261.00,164.80,179.90,NaN,-16.77,-21631.00,-139537.00,30027.00,-0.46,-5878.00,54802.00,-2890.00,16423.00,2821.00,-10919.00,-55413.00,-467647.00
2020-11-17,-0.17,-0.92,3.84,0.02,2.74,9.77,0.40,1.32,0.15,4.95,3.33,9.16,9.80,17.81,24.70,24.59,1644.00,3909.00,281.60,792.70,NaN,53.87,7609.00,42643.00,198212.00,1081.00,154335.00,531713.00,21237.00,78921.00,9377.00,244295.00,157535.00,416671.00
2020-11-18,-0.23,-4.12,1.73,0.18,3.94,12.44,0.28,2.00,0.22,11.22,3.00,8.38,14.80,25.44,32.90,182.90,2363.00,4978.00,194.10,1199.00,NaN,77.30,11363.00,190108.00,156802.00,18522.00,316210.00,859802.00,32654.00,175364.00,21900.00,604493.00,178068.00,452605.00
2020-11-19,-0.29,-8.19,0.01,0.08,2.64,10.37,0.05,0.88,0.27,23.72,1.88,8.48,16.20,24.84,34.70,77.40,1584.00,4150.00,37.08,527.70,NaN,42.53,3009.00,228021.00,354.50,758.70,102700.00,399527.00,1819.00,51194.00,9927.00,756358.00,46502.00,96520.00
2020-11-20,-0.27,-3.76,0.26,0.05,2.86,11.50,0.07,0.52,0.22,12.24,2.85,8.26,12.50,20.75,29.00,47.29,1717.00,4602.00,51.78,312.70,NaN,48.71,7224.00,131732.00,11280.00,1664.00,123587.00,490619.00,2874.00,25667.00,10157.00,517632.00,97410.00,275711.00
2020-11-21,-0.23,-3.68,1.01,0.00,3.76,11.29,0.15,1.36,0.19,17.73,2.31,5.04,19.10,27.90,37.60,2.69,2256.00,4517.00,106.10,816.70,NaN,59.44,9798.00,163153.00,72311.00,220.00,202006.00,577350.00,9977.00,84388.00,10531.00,807378.00,117140.00,260214.00
2020-11-22,-0.37,-5.83,0.35,0.00,3.47,12.03,0.30,1.50,0.24,21.08,1.79,3.24,18.20,25.84,30.40,0.00,2082.00,4813.00,212.00,898.60,NaN,58.63,14789.00,207779.00,26068.00,0.00,214553.00,597155.00,17421.00,115408.00,16293.00,820874.00,64664.00,121931.00
2020-11-23,-0.25,-4.85,0.86,0.04,2.22,6.78,0.33,0.28,0.28,21.42,2.00,7.57,14.60,17.96,22.20,44.51,1331.00,2713.00,230.50,169.70,NaN,29.00,-2959.00,16624.00,46371.00,1005.00,73880.00,270281.00,21313.00,18348.00,11281.00,706020.00,7835.00,-106135.00
2020-11-24,-0.26,-1.72,4.13,0.07,2.93,10.11,0.72,0.54,0.25,6.94,3.29,9.17,11.60,17.90,22.80,73.39,1756.00,4045.00,505.50,321.20,NaN,50.05,7776.00,27707.00,272111.00,1388.00,164867.00,533255.00,43991.00,38990.00,13695.00,377307.00,98898.00,230228.00
2020-11-25,-0.22,-0.51,5.65,0.02,3.44,8.12,0.40,1.12,0.20,10.89,3.32,9.04,14.00,24.43,33.60,23.66,2062.00,3247.00,282.80,673.40,NaN,59.67,9359.00,18474.00,406037.00,828.30,228619.00,510859.00,32432.00,83307.00,14218.00,601751.00,161541.00,407661.00
2020-11-26,-0.23,0.00,4.27,0.05,4.04,9.85,0.46,1.02,0.18,12.21,3.20,8.44,15.50,24.67,32.20,51.23,2426.00,3941.00,320.10,609.70,NaN,59.82,12735.00,0.00,262597.00,2663.00,262810.00,597837.00,33135.00,69253.00,12750.00,736978.00,170268.00,440171.00
2020-11-27,-0.36,-2.32,4.87,0.16,6.58,10.98,1.95,0.98,0.33,18.10,3.14,8.66,19.60,30.26,39.00,163.80,3946.00,4393.00,1368.00,590.10,NaN,80.43,16196.00,71351.00,555416.00,35772.00,685899.00,877137.00,309976.00,135443.00,46818.00,853753.00,209656.00,471853.00
2020-11-28,-0.46,-4.46,3.22,0.00,3.84,11.97,0.58,0.05,0.27,20.34,2.34,5.48,16.50,25.41,32.80,0.00,2305.00,4786.00,408.30,30.62,NaN,38.05,7620.00,36196.00,157292.00,0.00,138390.00,443073.00,16716.00,2882.00,16451.00,501673.00,93474.00,229173.00
2020-11-29,-0.28,-4.44,0.40,0.00,3.42,5.72,0.00,0.00,0.26,16.98,2.54,8.41,13.90,17.35,22.40,-0.07,2051.00,2288.00,0.00,0.91,NaN,7.16,-4069.00,15483.00,21937.00,-3.07,47758.00,102955.00,0.00,-24.39,4111.00,241497.00,-29542.00,-163743.00
2020-11-30,-0.24,-3.35,3.94,0.00,4.31,6.88,0.93,0.00,0.28,15.80,3.02,8.71,12.40,23.50,31.30,-0.18,2584.00,2753.00,653.80,0.00,NaN,23.96,-9027.00,-987.30,271787.00,-6.57,171411.00,273221.00,68609.00,0.00,12069.00,352184.00,-11604.00,-162602.00
2020-12-01,-0.34,-4.51,0.44,0.00,2.23,4.16,0.04,0.00,0.33,25.21,1.89,7.74,14.80,18.71,24.70,-0.07,1341.00,1664.00,27.96,0.00,NaN,-42.87,-24055.00,-245375.00,18203.00,7.26,-31978.00,-96111.00,1764.00,0.00,-1088.00,-57750.00,-190864.00,-967120.00
2020-12-02,-0.29,-0.95,3.42,0.00,2.52,5.75,0.15,0.00,0.21,11.39,3.21,9.01,12.10,16.44,21.00,-0.21,1514.00,2298.00,107.70,0.14,NaN,43.87,9574.00,34333.00,151851.00,-10.09,109027.00,251798.00,8112.00,8.43,9710.00,475110.00,122229.00,338930.00
2020-12-03,-0.27,-0.25,3.63,0.03,3.69,8.34,0.40,0.00,0.25,8.56,2.73,9.42,9.90,19.40,28.10,34.81,2215.00,3335.00,277.40,0.02,NaN,60.67,13108.00,9409.00,247336.00,3480.00,246497.00,501109.00,28225.00,2.19,20482.00,462710.00,162796.00,521792.00
2020-12-04,-0.33,0.00,6.38,0.00,3.96,8.25,1.30,0.43,0.31,8.53,2.69,9.15,11.80,24.37,33.60,4.17,2376.00,3301.00,910.20,258.40,NaN,57.54,15518.00,0.00,352064.00,384.00,237170.00,470874.00,87888.00,29017.00,19675.00,471207.00,145961.00,510235.00
2020-12-05,-0.32,-5.01,0.54,0.00,1.96,4.23,0.00,0.01,0.19,28.23,1.09,4.49,14.50,21.33,29.00,-0.08,1175.00,1692.00,0.00,4.39,NaN,-22.13,-21665.00,-166723.00,11162.00,2.87,-18679.00,-42122.00,0.00,210.30,-1314.00,-193246.00,-57457.00,-293427.00
2020-12-06,-0.33,-8.55,0.00,0.00,1.93,4.19,0.00,0.00,0.26,26.84,1.57,6.92,13.50,16.64,20.20,-0.27,1158.00,1676.00,0.00,0.00,NaN,-87.19,-24688.00,-533750.00,0.00,13.70,-101062.00,-219800.00,0.00,0.00,-9401.00,-1272056.00,-127778.00,-573227.00
2020-12-07,-0.39,-6.54,0.54,0.00,2.10,5.02,0.00,0.00,0.40,26.84,0.72,6.93,12.50,14.82,17.50,-0.30,1259.00,2009.00,0.00,0.00,NaN,-51.34,-26900.00,-252133.00,18213.00,9.71,-65004.00,-138790.00,0.00,0.00,-5313.00,-841778.00,-34206.00,-482949.00
2020-12-08,-0.21,-1.11,4.73,0.00,2.94,7.49,0.39,1.02,0.17,6.83,3.35,8.04,12.40,15.50,18.90,-0.21,1767.00,2996.00,273.80,612.00,NaN,35.72,1483.00,17765.00,177386.00,-6.85,111648.00,304570.00,22533.00,53781.00,8408.00,256216.00,83715.00,163625.00
2020-12-09,-0.22,-1.17,2.35,0.07,4.03,7.30,0.18,0.49,0.22,9.04,3.36,9.70,9.70,18.57,27.30,66.76,2418.00,2919.00,123.60,295.50,NaN,41.68,7379.00,25061.00,114462.00,3491.00,173900.00,325497.00,8830.00,26301.00,10572.00,406226.00,103274.00,268154.00
2020-12-10,-0.38,-2.86,0.52,0.00,1.97,4.24,0.00,0.11,0.33,21.49,1.84,9.77,12.90,18.74,24.70,-0.37,1183.00,1696.00,0.00,64.13,NaN,-4.09,-6619.00,-56268.00,19208.00,-2.68,7274.00,14950.00,0.00,3820.00,6758.00,263160.00,-54740.00,-348844.00
2020-12-11,-0.42,-5.00,0.14,0.00,2.05,4.19,0.16,0.00,0.37,25.43,1.01,9.17,12.30,21.13,29.50,-0.37,1229.00,1675.00,110.10,0.00,NaN,-32.40,-20203.00,-135061.00,7357.00,8.74,-34776.00,-79906.00,-22587.00,0.00,2489.00,-141374.00,-76978.00,-700565.00
2020-12-12,-0.33,-3.29,3.38,0.00,1.94,5.67,0.35,0.11,0.28,25.23,1.24,7.34,21.20,29.11,35.20,-0.03,1162.00,2269.00,247.40,65.79,NaN,-3.16,-11288.00,-109710.00,184586.00,0.71,891.80,87018.00,18383.00,7210.00,4730.00,30196.00,-51168.00,-293092.00
2020-12-13,-0.25,-1.90,2.92,0.01,2.29,5.88,0.49,0.56,0.22,25.16,0.61,3.83,25.60,27.75,30.90,10.02,1371.00,2352.00,342.10,334.10,NaN,27.62,2963.00,11230.00,175818.00,1509.00,72184.00,209108.00,33327.00,49799.00,9709.00,479969.00,10008.00,44291.00
2020-12-14,-0.49,-1.11,4.34,0.02,8.44,11.18,1.07,1.38,0.39,18.79,1.14,5.46,22.90,29.92,36.10,18.69,5066.00,4470.00,746.20,826.30,NaN,61.44,16591.00,12848.00,348937.00,1622.00,715181.00,724814.00,113286.00,137397.00,35029.00,643860.00,65306.00,293882.00
2020-12-15,-0.38,-1.11,3.63,0.00,6.75,11.50,0.03,1.08,0.40,13.12,2.03,8.88,17.90,23.91,29.80,4.20,4049.00,4601.00,18.03,645.60,NaN,60.17,20934.00,58678.00,216611.00,349.70,402246.00,716121.00,1942.00,78137.00,23900.00,674821.00,110683.00,457734.00
2020-12-16,-0.44,-0.82,4.31,0.00,4.31,8.35,0.00,0.37,0.37,13.10,2.81,8.12,16.70,21.06,26.60,0.00,2586.00,3339.00,0.00,220.00,NaN,28.79,9096.00,7049.00,170156.00,0.00,128254.00,267741.00,0.00,11154.00,12089.00,432942.00,36369.00,90551.00
2020-12-17,-0.44,-4.21,3.42,0.01,2.36,7.52,0.00,0.22,0.38,18.33,2.47,6.97,13.90,17.16,20.30,5.59,1416.00,3008.00,0.00,134.20,NaN,12.25,-2657.00,-67700.00,168432.00,223.60,51194.00,199081.00,0.00,9038.00,5359.00,172950.00,-16021.00,-66233.00
2020-12-18,-0.50,-1.03,2.18,0.00,2.16,7.16,0.00,0.00,0.45,12.12,2.66,9.46,11.90,16.32,20.20,-0.13,1297.00,2862.00,0.00,0.00,NaN,-23.79,-31079.00,-12222.00,-22283.00,-1.92,-25847.00,33273.00,0.00,0.00,-2900.00,136734.00,-128317.00,-771940.00
2020-12-19,-0.48,-2.04,1.22,0.00,2.11,6.91,0.00,0.00,0.41,12.23,2.69,9.67,11.20,17.48,24.10,-0.21,1266.00,2762.00,0.00,0.00,NaN,40.73,15733.00,55283.00,54362.00,-8.59,79090.00,271788.00,0.00,0.00,15803.00,499643.00,73035.00,267664.00
2020-12-20,-0.55,-2.28,2.77,0.00,2.54,6.09,0.00,0.01,0.45,11.07,2.58,9.39,11.70,21.10,29.20,-0.22,1523.00,2437.00,0.00,8.60,NaN,33.77,12716.00,42531.00,140102.00,-4.78,89851.00,220195.00,0.00,768.90,16032.00,316989.00,49927.00,194398.00
2020-12-21,-0.55,-2.47,5.72,0.01,2.78,6.91,0.13,0.32,0.52,14.85,1.85,6.11,14.30,17.76,20.90,6.38,1668.00,2765.00,91.67,194.90,NaN,51.68,19260.00,43728.00,346899.00,206.90,145493.00,372791.00,8034.00,16448.00,27998.00,623476.00,59080.00,206703.00
2020-12-22,-0.52,-2.44,3.58,0.00,2.07,5.20,0.00,0.00,0.44,15.71,2.32,8.61,11.80,16.52,21.20,-0.18,1244.00,2080.00,0.00,0.00,NaN,-11.20,-14388.00,-131028.00,126620.00,-4.67,7540.00,43774.00,0.00,0.00,4251.00,56699.00,-82912.00,-402206.00
2020-12-23,-0.49,-1.03,3.03,0.01,2.35,7.21,0.00,0.00,0.40,10.28,3.39,9.13,12.20,17.02,22.00,12.92,1410.00,2885.00,0.00,0.00,NaN,36.38,16084.00,27091.00,124498.00,655.30,84002.00,265022.00,0.00,0.00,14603.00,404795.00,89818.00,220598.00
2020-12-24,-0.45,-1.83,1.72,0.00,2.21,6.83,0.00,0.00,0.39,12.86,3.32,9.15,11.00,17.90,25.50,-0.19,1326.00,2733.00,0.00,0.00,NaN,23.10,9927.00,11563.00,62489.00,-5.98,54414.00,186506.00,0.00,0.00,9861.00,365265.00,31557.00,58475.00
2020-12-25,-0.46,-3.20,1.67,0.00,2.21,6.61,0.00,0.00,0.34,12.92,2.83,9.73,14.20,21.21,29.30,-0.23,1326.00,2642.00,0.00,0.00,NaN,7.88,450.60,-29000.00,71635.00,-2.13,30719.00,106911.00,0.00,0.00,6749.00,215530.00,-21590.00,-124112.00
2020-12-26,-0.42,-0.54,8.87,0.00,2.77,7.38,0.69,0.86,0.33,5.28,3.32,9.28,13.90,25.51,34.80,-0.03,1659.00,2952.00,480.40,517.30,NaN,37.82,12108.00,2040.00,430104.00,-1.20,119178.00,321125.00,40167.00,51253.00,14115.00,192785.00,73951.00,173582.00
2020-12-27,-0.44,-5.46,0.68,0.00,1.97,4.54,0.04,0.07,0.34,27.84,0.39,5.04,12.60,21.74,29.20,0.00,1181.00,1814.00,27.80,40.27,NaN,-7.63,-6034.00,-50343.00,25549.00,-0.64,-6267.00,-1284.00,1671.00,2841.00,1792.00,-140439.00,-10611.00,-83885.00
2020-12-28,-0.48,-5.69,0.09,0.00,2.45,5.43,0.00,0.00,0.45,20.40,1.30,8.61,9.20,15.08,20.20,-0.06,1469.00,2171.00,0.00,0.00,NaN,-22.77,-15558.00,-120045.00,3949.00,0.08,-29476.00,-22038.00,0.00,0.00,-834.90,-107933.00,-60487.00,-388719.00
2020-12-29,-0.48,-2.03,2.38,0.00,2.41,6.40,0.00,0.00,0.36,12.40,2.38,9.74,10.10,17.04,21.90,-0.17,1447.00,2559.00,0.00,0.00,NaN,21.19,8063.00,-12264.00,97654.00,-5.00,56254.00,189807.00,0.00,0.00,10585.00,373706.00,9244.00,-21768.00
2020-12-30,-0.48,-0.61,2.76,0.00,2.38,4.43,0.00,0.00,0.37,14.63,2.95,8.71,13.00,19.83,29.20,-0.12,1429.00,1772.00,0.00,0.00,NaN,30.84,14034.00,11085.00,103613.00,-4.60,72125.00,137474.00,0.00,0.00,11432.00,505317.00,60761.00,168136.00
2020-12-31,-0.47,-3.77,0.15,0.00,2.38,4.18,0.00,0.00,0.42,21.93,1.86,9.54,15.00,23.80,30.00,-0.14,1430.00,1673.00,0.00,0.00,NaN,-14.46,-15819.00,-93285.00,5324.00,3.53,-12913.00,-21215.00,0.00,0.00,-586.30,94753.00,-63134.00,-416552.00
2021-01-01,-0.47,-2.16,0.39,0.00,2.55,5.34,0.00,0.00,0.37,17.62,3.20,8.68,17.80,21.12,24.80,-0.03,1531.00,2136.00,0.00,0.00,NaN,21.67,7085.00,32843.00,11267.00,-0.76,49103.00,114215.00,0.00,0.00,7622.00,384667.00,46181.00,116840.00
2021-01-02,-0.45,-3.65,3.22,0.00,2.43,6.47,0.00,0.00,0.40,14.57,2.75,9.11,17.40,20.09,25.80,-0.03,1459.00,2588.00,0.00,0.00,NaN,0.42,-8722.00,-87722.00,103463.00,-1.09,23603.00,107361.00,0.00,0.00,7177.00,58004.00,-11939.00,-176634.00
2021-01-03,-0.43,-2.15,4.42,0.00,2.40,5.32,0.00,0.00,0.36,13.58,1.95,7.70,15.60,18.48,21.00,-0.03,1443.00,2126.00,0.00,0.00,NaN,19.72,6160.00,-15726.00,155367.00,-1.26,52006.00,129171.00,0.00,0.00,8965.00,301217.00,10370.00,5820.00
2021-01-04,-0.45,-3.73,1.05,0.00,2.40,4.15,0.00,0.00,0.38,23.16,2.50,6.57,14.10,17.22,21.60,-0.20,1437.00,1660.00,0.00,0.00,NaN,-9.50,-3559.00,-58962.00,24231.00,1.07,-10554.00,-18410.00,0.00,0.00,-410.90,-49012.00,-60440.00,-165032.00
2021-01-05,-0.54,-4.60,0.54,0.00,2.40,4.15,0.00,0.00,0.49,21.66,2.46,9.14,15.10,17.99,22.90,-0.18,1437.00,1660.00,0.00,0.00,NaN,-19.19,-13761.00,-136656.00,18412.00,0.45,-20934.00,-36700.00,0.00,0.00,2198.00,-36357.00,-77300.00,-384131.00
2021-01-06,-0.52,-3.12,0.30,0.00,2.39,4.15,0.00,0.00,0.37,21.03,2.69,8.59,14.20,20.03,26.40,-0.08,1435.00,1659.00,0.00,0.00,NaN,-38.87,-22017.00,-191342.00,8868.00,-1.06,-52840.00,-91786.00,0.00,0.00,-6844.00,-126374.00,-169707.00,-742337.00
2021-01-07,-0.40,-4.34,0.57,0.00,2.40,4.15,0.00,0.00,0.38,21.98,2.69,9.59,18.40,25.51,33.20,-0.04,1437.00,1661.00,0.00,0.00,NaN,-4.04,-7702.00,-41464.00,21830.00,-0.91,-2958.00,-5260.00,0.00,0.00,4297.00,100893.00,-37301.00,-181833.00
2021-01-08,-0.43,-0.26,2.90,0.00,2.43,4.12,0.13,0.22,0.33,19.93,3.35,9.40,19.90,28.25,34.40,-0.04,1460.00,1648.00,88.18,134.80,NaN,28.27,8803.00,3043.00,116229.00,-1.35,64804.00,107248.00,6429.00,9297.00,11823.00,510948.00,95936.00,256428.00
2021-01-09,-0.28,0.00,6.99,0.00,3.95,5.72,0.84,1.08,0.27,12.41,3.31,9.27,23.40,31.26,36.80,0.00,2370.00,2290.00,589.50,647.30,NaN,42.39,11276.00,0.00,277145.00,0.00,182323.00,254447.00,46390.00,59594.00,11553.00,527551.00,128616.00,347936.00
2021-01-10,-0.40,0.00,11.76,0.14,5.39,8.15,1.34,1.41,0.32,7.45,3.30,8.95,17.40,28.17,37.30,145.00,3233.00,3260.00,936.60,846.80,NaN,74.04,17391.00,0.00,903787.00,40564.00,567305.00,637541.00,167998.00,185000.00,45775.00,378463.00,181436.00,415871.00
2021-01-11,-0.45,-2.87,2.33,0.02,4.90,7.96,0.70,0.74,0.35,28.03,2.05,5.72,15.70,21.70,30.30,23.08,2939.00,3183.00,491.70,444.50,NaN,40.76,14245.00,93220.00,101574.00,1201.00,185360.00,306142.00,29774.00,30430.00,11798.00,955708.00,77329.00,210172.00
2021-01-12,-0.39,-0.92,3.15,0.03,4.53,5.88,0.38,1.18,0.37,12.76,3.36,9.55,15.00,20.14,27.30,29.92,2717.00,2350.00,262.90,706.00,NaN,34.05,9843.00,13905.00,123312.00,1336.00,168440.00,211636.00,17322.00,52763.00,13788.00,419364.00,86791.00,239132.00
2021-01-13,-0.48,-2.18,6.45,0.06,2.53,7.28,0.02,0.12,0.43,15.93,1.73,6.83,12.30,17.32,22.00,59.51,1517.00,2910.00,10.65,69.38,NaN,23.59,1573.00,-96404.00,367191.00,3966.00,97896.00,211550.00,2036.00,11837.00,18190.00,330848.00,31797.00,-67752.00
2021-01-14,-0.49,-2.10,6.25,0.00,2.09,4.41,0.38,0.49,0.39,13.14,2.85,9.22,14.40,16.87,20.10,-0.29,1257.00,1763.00,267.70,294.00,NaN,18.91,2599.00,-42976.00,286896.00,-15.10,53211.00,111458.00,20275.00,27558.00,11612.00,333881.00,-5153.00,-106871.00
2021-01-15,-0.53,-2.95,1.20,0.00,1.94,4.15,0.00,0.00,0.44,21.86,2.31,8.03,14.50,17.42,22.10,-0.20,1166.00,1659.00,0.00,2.50,NaN,-64.11,-29913.00,-281859.00,26219.00,-0.19,-79487.00,-170214.00,0.00,159.90,-21511.00,-608256.00,-231057.00,-941454.00
2021-01-16,-0.41,-2.26,3.97,0.00,1.94,4.14,0.00,0.14,0.32,13.88,2.41,8.74,13.90,18.03,22.40,-0.07,1166.00,1657.00,0.00,83.58,NaN,-10.69,-7378.00,-79100.00,63963.00,-0.33,-7187.00,-15311.00,0.00,4260.00,3617.00,79396.00,-77519.00,-316218.00
2021-01-17,-0.38,-1.31,2.93,0.00,2.14,5.26,0.00,0.48,0.34,12.62,2.65,7.45,13.10,17.87,24.00,-0.28,1286.00,2106.00,0.00,290.60,NaN,16.22,1621.00,-21465.00,94416.00,-7.57,44693.00,124707.00,0.00,15881.00,9116.00,317497.00,-4206.00,-59897.00
2021-01-18,-0.34,-1.62,3.79,0.00,2.41,5.70,0.00,0.00,0.28,13.72,3.04,8.93,13.30,20.04,28.10,-0.32,1446.00,2279.00,0.00,0.00,NaN,12.11,1508.00,-40333.00,143936.00,-12.48,48577.00,131679.00,0.00,0.00,7612.00,276526.00,-28164.00,-106619.00
2021-01-19,-0.32,-3.20,1.24,0.00,1.40,8.36,0.00,0.00,0.22,17.84,2.72,8.82,15.90,24.42,31.00,-0.23,839.70,3344.00,0.00,0.00,NaN,0.32,-3231.00,-58445.00,47805.00,-1.85,9901.00,55899.00,0.00,0.00,3560.00,322805.00,-68542.00,-297947.00
2021-01-20,-0.23,0.00,8.22,0.02,2.69,5.73,0.05,0.32,0.23,11.20,3.21,9.20,15.40,25.47,33.50,24.25,1611.00,2292.00,32.02,192.10,NaN,41.21,8617.00,0.00,379417.00,980.60,115066.00,245861.00,2745.00,18329.00,11264.00,443251.00,119026.00,330048.00
2021-01-21,-0.26,0.00,7.61,0.00,3.15,5.66,0.07,0.85,0.16,14.85,3.23,9.16,15.50,24.08,31.30,2.15,1887.00,2263.00,50.99,511.40,NaN,43.92,10455.00,0.00,345425.00,145.10,144983.00,260941.00,4568.00,46812.00,8907.00,651137.00,128976.00,351361.00
2021-01-22,-0.27,0.00,10.28,0.10,3.86,5.83,1.32,1.61,0.27,7.93,3.31,9.25,16.80,29.69,38.70,95.87,2318.00,2333.00,925.50,963.70,NaN,118.25,32067.00,0.00,1417026.00,179278.00,807917.00,444461.00,231931.00,464822.00,177116.00,877737.00,139928.00,371032.00
2021-01-23,-0.26,-0.49,8.22,0.04,5.42,6.16,0.50,1.14,0.21,14.34,3.13,8.77,28.20,34.81,42.20,41.13,3255.00,2462.00,347.70,684.10,NaN,56.37,17101.00,6029.00,565214.00,6301.00,397658.00,375385.00,54848.00,102314.00,14394.00,568455.00,149007.00,402642.00
2021-01-24,-0.46,-0.20,5.84,0.66,9.25,6.61,3.07,1.37,0.27,19.79,2.02,6.85,19.50,25.07,33.90,663.80,5552.00,2643.00,2147.00,822.50,NaN,179.71,28888.00,5230.00,598573.00,428612.00,2636656.00,1296980.00,1386464.00,541910.00,138514.00,1776991.00,182317.00,875526.00
2021-01-25,-0.26,-0.06,6.19,0.18,9.04,8.11,1.61,0.49,0.31,17.00,0.96,2.00,16.20,19.80,23.70,181.50,5422.00,3244.00,1130.00,294.60,NaN,51.27,6544.00,1454.00,409282.00,33354.00,524170.00,445879.00,143814.00,49123.00,25537.00,607090.00,33150.00,57984.00
2021-01-26,-0.35,-0.82,5.42,0.00,3.59,5.56,0.00,0.20,0.29,12.40,2.08,6.00,15.40,20.95,26.80,-0.05,2154.00,2223.00,0.00,118.00,NaN,18.26,1396.00,-20352.00,229798.00,-1.15,113854.00,163199.00,0.00,8374.00,7570.00,252221.00,-33269.00,-95418.00
2021-01-27,-0.27,-1.81,4.25,0.03,2.08,4.12,0.00,0.01,0.17,18.75,2.11,8.20,18.40,24.09,29.80,26.54,1248.00,1650.00,0.00,8.09,NaN,-10.93,-6451.00,-86892.00,111220.00,-882.90,-5237.00,-23907.00,0.00,582.00,2663.00,-76390.00,-74677.00,-251600.00
2021-01-28,-0.28,0.00,11.56,0.05,3.35,5.65,0.50,0.51,0.19,9.85,2.36,6.84,17.10,21.33,25.00,47.09,2010.00,2262.00,350.30,306.60,NaN,43.01,9001.00,0.00,504685.00,3312.00,156201.00,229512.00,18927.00,38697.00,13411.00,356571.00,108661.00,306623.00
2021-01-29,-0.23,-1.58,9.34,0.00,3.27,6.55,0.03,0.11,0.21,10.26,2.91,8.75,15.70,19.32,24.30,2.16,1961.00,2621.00,22.46,67.40,NaN,48.90,7930.00,44993.00,526167.00,75.81,165236.00,336041.00,1837.00,6678.00,11269.00,427967.00,100875.00,309459.00
2021-01-30,-0.25,-0.64,6.47,0.00,2.25,4.32,0.00,0.17,0.22,12.20,2.06,7.65,13.50,20.61,27.00,-0.04,1347.00,1727.00,0.00,99.00,NaN,11.23,-3291.00,-6040.00,207595.00,-1.37,41940.00,69467.00,0.00,10021.00,6988.00,288079.00,-40472.00,-187656.00
2021-01-31,-0.25,-1.64,4.80,0.00,2.11,4.22,0.39,0.42,0.14,14.16,2.07,7.88,15.60,19.61,24.40,-0.12,1265.00,1689.00,276.10,251.00,NaN,9.99,-3137.00,-39256.00,201501.00,3.13,31846.00,54738.00,19227.00,20648.00,4319.00,156057.00,-11943.00,-91426.00
2021-02-01,-0.25,-2.78,6.48,0.00,2.63,4.40,0.56,0.65,0.26,16.24,2.10,7.76,13.60,18.13,23.70,0.16,1576.00,1761.00,392.10,392.30,NaN,3.34,-4464.00,-130775.00,341806.00,17.58,65687.00,80025.00,34128.00,40581.00,3079.00,66120.00,-69427.00,-299885.00
2021-02-02,-0.21,-2.92,1.21,0.00,1.95,4.16,0.00,0.00,0.16,21.47,2.83,8.74,13.40,21.14,27.90,-0.03,1168.00,1665.00,0.00,0.00,NaN,-5.65,-5506.00,-51802.00,36738.00,-0.76,137.00,-1855.00,0.00,0.00,2673.00,122726.00,-72638.00,-241705.00
2021-02-03,-0.20,-0.33,6.35,0.03,2.37,5.73,0.10,0.31,0.17,11.24,2.98,8.81,12.80,19.61,24.20,30.23,1424.00,2291.00,72.57,188.50,NaN,31.04,3468.00,2825.00,304073.00,904.30,84074.00,211634.00,4766.00,17605.00,6034.00,279889.00,62287.00,188779.00
2021-02-04,-0.16,-0.97,7.99,0.00,2.75,7.62,0.00,0.05,0.12,15.16,1.03,2.72,13.50,16.61,18.80,1.00,1650.00,3046.00,0.00,27.46,NaN,42.35,7059.00,29552.00,361625.00,101.10,115915.00,311866.00,0.00,3681.00,6120.00,554221.00,40524.00,106980.00
