SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
2021-01-11,QLD1,161663.13738701,120525.30452606,0.7455
2021-01-11,SA1,44167.059719,8088.12679,0.1831
2021-01-11,TAS1,27525.224073,205.71265846,0.0075
2021-01-11,VIC1,151709.59416899,114423.0863271,0.7542
2021-01-12,NEM,506297.38796774,355637.74223578,0.7024
2021-01-12,NSW1,164376.540657,115593.56961078,0.7032
2021-01-12,QLD1,160512.95071075,121291.58375561,0.7556
2021-01-12,SA1,28101.152444,6935.51426619,0.2468
2021-01-12,TAS1,22899.598236,0.0,0.0
2021-01-12,VIC1,130407.14591999,111817.0746032,0.8574
2021-01-13,NEM,520864.72236807,360107.34415984,0.6914
2021-01-13,NSW1,170691.67333225,116996.91024695,0.6854
2021-01-13,QLD1,159979.63795884,118742.37071237,0.7422
2021-01-13,SA1,27828.651463,5121.37564073,0.184
2021-01-13,TAS1,25126.02269899,45.5559953,0.0018
2021-01-13,VIC1,137238.73691499,119201.13156449,0.8686
2021-01-14,NEM,521242.36800174,367389.54411679,0.7048
2021-01-14,NSW1,177965.18211675,116657.08329245,0.6555
2021-01-14,QLD1,169219.91911999,123635.62066225,0.7306
2021-01-14,SA1,23521.157766,4020.93001568,0.1709
2021-01-14,TAS1,19970.981515,116.90189209,0.0059
2021-01-14,VIC1,130565.127484,122959.00825432,0.9417
2021-01-15,NEM,513625.42509932,344168.743748,0.6701
2021-01-15,NSW1,166905.458589,112690.45489245,0.6752
2021-01-15,QLD1,166044.11216433,121450.52985276,0.7314
2021-01-15,SA1,30398.256812,3125.82323044,0.1028
2021-01-15,TAS1,17458.973994,0.0,0.0
2021-01-15,VIC1,132818.62353999,106901.93577235,0.8049
2021-01-16,NEM,463073.49980751,311505.12727521,0.6727
2021-01-16,NSW1,136207.785701,88210.56039785,0.6476
2021-01-16,QLD1,159832.2192555,116432.81315736,0.7285
2021-01-16,SA1,22584.100441,3229.68107223,0.143
2021-01-16,TAS1,16983.66238201,0.0,0.0
2021-01-16,VIC1,127465.732028,103632.07264777,0.813
2021-01-17,NEM,444159.65918951,306412.00680348,0.6899
2021-01-17,NSW1,139064.58671,97608.76392104,0.7019
2021-01-17,QLD1,154744.78318751,112057.97618605,0.7241
2021-01-17,SA1,23345.474663,4037.77309068,0.173
2021-01-17,TAS1,21169.429494,0.0,0.0
2021-01-17,VIC1,105835.385135,92707.49360571,0.876
2021-01-18,NEM,506416.00328208,347711.28096528,0.6866
2021-01-18,NSW1,178014.906329,131927.22568214,0.7411
2021-01-18,QLD1,163450.51523508,123837.52678947,0.7576
2021-01-18,SA1,24971.064744,4188.41940199,0.1677
2021-01-18,TAS1,21694.915595,0.0,0.0
2021-01-18,VIC1,118284.601379,87758.10909168,0.7419
2021-01-19,NEM,491613.42722418,336223.57246966,0.6839
2021-01-19,NSW1,167033.695135,123489.9678347,0.7393
2021-01-19,QLD1,160152.68670417,120624.21692889,0.7532
2021-01-19,SA1,30432.796107,4806.32231509,0.1579
2021-01-19,TAS1,18996.655099,0.0,0.0
2021-01-19,VIC1,114997.59417901,87303.06539098,0.7592
2021-01-20,NEM,485155.80571226,345505.1585569,0.7122
2021-01-20,NSW1,163869.628141,120748.59367915,0.7369
2021-01-20,QLD1,157371.04309826,116360.73868192,0.7394
2021-01-20,SA1,23225.521804,4593.9488857,0.1978
2021-01-20,TAS1,17293.490218,0.0,0.0
2021-01-20,VIC1,123396.122451,103801.87731013,0.8412
2021-01-21,NEM,504782.12360902,363878.60731046,0.7209
2021-01-21,NSW1,164206.73245501,124350.45927461,0.7573
2021-01-21,QLD1,159398.75739501,117039.50886364,0.7343
2021-01-21,SA1,27773.251865,5128.95375929,0.1847
2021-01-21,TAS1,19097.50632901,0.0,0.0
2021-01-21,VIC1,134305.87556499,117359.68541292,0.8738
2021-01-22,NEM,522424.98458727,384555.9614167,0.7361
2021-01-22,NSW1,180150.303747,130868.09106766,0.7264
2021-01-22,QLD1,161804.09977326,119040.7290493,0.7357
2021-01-22,SA1,23896.817288,7120.36420242,0.298
2021-01-22,TAS1,22582.89021501,0.0,0.0
2021-01-22,VIC1,133990.873564,127526.77709732,0.9518
2021-01-23,NEM,512643.03485251,377250.03428433,0.7359
2021-01-23,NSW1,177328.59492,126753.9544599,0.7148
2021-01-23,QLD1,158332.8499295,116542.05354782,0.7361
2021-01-23,SA1,30507.52929001,7492.94335399,0.2456
2021-01-23,TAS1,22154.983216,0.0,0.0
2021-01-23,VIC1,124319.077497,126461.08292262,1.0172
2021-01-24,NEM,548551.178823,388430.29896675,0.7081
2021-01-24,NSW1,182193.4433475,128263.36280843,0.704
2021-01-24,QLD1,159264.1883135,115592.55536522,0.7258
2021-01-24,SA1,42357.78546399,13532.82828226,0.3195
2021-01-24,TAS1,23005.783291,110.07817691,0.0048
2021-01-24,VIC1,141729.97840701,130931.47433393,0.9238
2021-01-25,NEM,589092.63065098,407665.46306568,0.692
2021-01-25,NSW1,197135.138721,140975.36049123,0.7151
2021-01-25,QLD1,170836.95109299,124535.79058274,0.729
2021-01-25,SA1,37037.975293,11768.65026172,0.3177
2021-01-25,TAS1,27874.223671,613.11272532,0.022
2021-01-25,VIC1,156208.34187299,129772.54900467,0.8308
2021-01-26,NEM,524811.84384826,375890.62079102,0.7162
2021-01-26,NSW1,189412.072994,132651.81200001,0.7003
2021-01-26,QLD1,162855.13286726,118789.89555078,0.7294
2021-01-26,SA1,23757.563864,4978.692633,0.2096
2021-01-26,TAS1,16558.912372,0.0,0.0
2021-01-26,VIC1,132228.161751,119470.22060723,0.9035
2021-01-27,NEM,524851.34513516,363444.00876471,0.6925
2021-01-27,NSW1,178125.969844,127300.26370021,0.7147
2021-01-27,QLD1,167752.01225016,122187.23603668,0.7284
2021-01-27,SA1,27037.334443,3232.43795142,0.1196
2021-01-27,TAS1,16751.23256,0.0,0.0
2021-01-27,VIC1,135184.796038,110724.0710764,0.8191
2021-01-28,NEM,521781.57755683,369305.69383101,0.7078
2021-01-28,NSW1,168321.325035,121031.84681371,0.7191
2021-01-28,QLD1,163144.53201983,120206.85151433,0.7368
2021-01-28,SA1,22207.282587,5485.25718355,0.247
2021-01-28,TAS1,18944.721842,0.0,0.0
2021-01-28,VIC1,149163.716073,122581.73831942,0.8218
2021-01-29,NEM,516578.07236559,370777.31561368,0.7178
2021-01-29,NSW1,172772.20451801,132701.09546656,0.7681
2021-01-29,QLD1,160651.17845558,117716.82334722,0.7327
2021-01-29,SA1,23067.726429,5192.78814997,0.2251
2021-01-29,TAS1,22529.886224,3.07099759,0.0001
2021-01-29,VIC1,137557.076739,115163.53765234,0.8372
2021-01-30,NEM,475514.12966999,340764.66548019,0.7166
2021-01-30,NSW1,164700.68841499,120963.47364583,0.7344
2021-01-30,QLD1,158897.72596,113886.62718487,0.7167
2021-01-30,SA1,20961.094179,3478.81461021,0.166
2021-01-30,TAS1,17648.083225,0.0,0.0
2021-01-30,VIC1,113306.537891,102435.75003928,0.9041
2021-01-31,NEM,462425.55446149,330226.88085734,0.7141
2021-01-31,NSW1,151280.83753199,109255.36024987,0.7222
2021-01-31,QLD1,156448.3992455,112601.03557799,0.7197
2021-01-31,SA1,23335.334137,3780.68278153,0.162
2021-01-31,TAS1,17117.421828,0.0,0.0
